Year,Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Event_id,Outbreak_id,New outbreaks,Susceptible,Measuring units,Cases,Killed and disposed of,Slaughtered,Deaths,Vaccinated
2017,Jan-Jun 2017,Europe,Poland,"Malopolske","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,5,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Europe,Poland,"Malopolske","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mute Swan",-,-,-,-,Animal,11,0,0,11,-
2017,Jan-Jun 2017,Europe,Poland,"Mazowieckie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,6,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Europe,Poland,"Mazowieckie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mallard",-,-,-,-,Animal,1,0,0,1,-
2017,Jan-Jun 2017,Europe,Poland,"Mazowieckie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mute Swan",-,-,-,-,Animal,6,0,0,6,-
2017,Jan-Jun 2017,Europe,Poland,"Mazowieckie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Whooper Swan",-,-,-,-,Animal,1,0,0,1,-
2017,Jan-Jun 2017,Europe,Poland,"Opolskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Europe,Poland,"Opolskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mute Swan",-,-,-,-,Animal,21,0,0,21,-
2017,Jan-Jun 2017,Europe,Poland,"Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,4,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Europe,Poland,"Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Herring Gull",-,-,-,-,Animal,1,0,0,1,-
2017,Jan-Jun 2017,Europe,Poland,"Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mute Swan",-,-,-,-,Animal,10,0,0,10,-
2017,Jan-Jun 2017,Europe,Poland,"Wielkopolskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,8,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Europe,Poland,"Wielkopolskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Anatidae (unidentified)",-,-,-,-,Animal,4,0,0,4,-
2017,Jan-Jun 2017,Europe,Poland,"Wielkopolskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mute Swan",-,-,-,-,Animal,15,0,0,15,-
2017,Jan-Jun 2017,Europe,Poland,"Zachodnio-Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Both animal categories,"",-,-,3,-,-,-,-,-,-,-
2017,Jan-Jun 2017,Europe,Poland,"Zachodnio-Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mallard",-,-,-,-,Animal,1,0,0,1,-
2017,Jan-Jun 2017,Europe,Poland,"Zachodnio-Pomorskie","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","",Wild,"Mute Swan",-,-,-,-,Animal,7,0,0,7,-
2017,Jul-Dec 2017,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Both animal categories,"",-,-,2,-,-,-,-,-,-,-
2017,Jul-Dec 2017,Africa,South Africa,"Eastern Cape Province","Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-)","H5N8",Domestic,"Birds",-,-,-,15,Animal,6,0,0,6,-
