Semester,World region,Country,Administrative Division,Disease,Serotype/Subtype/Genotype,Animal Category,Species,Measuring units,New outbreaks,Susceptible,Cases,Killed and disposed of,Deaths,Latitude,Longitude,Year
Jan-Jun 2017,Europe,Poland,Lubuskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,8.0,4.8,4.0,0.0,28.0,52.1001754,15.3605075,2017.0
Jan-Jun 2017,Europe,Poland,Lubuskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Anatidae (unidentified),Animal,8.4,3.2,3.0,0.0,3.0,52.1001754,15.3605075,2017.0
Jan-Jun 2017,Europe,Poland,Lubuskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mute Swan,Animal,8.4,5.6,8.0,0.0,8.0,52.1001754,15.3605075,2017.0
Jan-Jun 2017,Europe,Poland,Malopolske,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,5.0,59.0,7.0,0.0,8.0,49.790952,20.3793521,2017.0
Jan-Jun 2017,Europe,Poland,Malopolske,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mute Swan,Animal,4.6,4.8,11.0,0.0,11.0,49.790952,20.3793521,2017.0
Jan-Jun 2017,Europe,Poland,Mazowieckie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,6.0,12.4,4.0,0.0,4.0,52.5461934,21.2073404,2017.0
Jan-Jun 2017,Europe,Poland,Mazowieckie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mallard,Animal,4.8,4.2,1.0,0.0,1.0,52.5461934,21.2073404,2017.0
Jan-Jun 2017,Europe,Poland,Mazowieckie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mute Swan,Animal,4.8,6.8,6.0,0.0,6.0,52.5461934,21.2073404,2017.0
Jan-Jun 2017,Europe,Poland,Mazowieckie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Whooper Swan,Animal,4.8,4.2,1.0,0.0,1.0,52.5461934,21.2073404,2017.0
Jan-Jun 2017,Europe,Poland,Opolskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,3.0,44.8,32.4,0.0,8.4,50.8918612,17.9321175,2017.0
Jan-Jun 2017,Europe,Poland,Opolskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mute Swan,Animal,8.0,6.6,21.0,0.0,21.0,50.8918612,17.9321175,2017.0
Jan-Jun 2017,Europe,Poland,Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,4.0,4.2,4.4,0.0,4.4,54.24556,18.1099,2017.0
Jan-Jun 2017,Europe,Poland,Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Herring Gull,Animal,5.0,4.2,1.0,0.0,1.0,54.24556,18.1099,2017.0
Jan-Jun 2017,Europe,Poland,Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mute Swan,Animal,5.0,7.0,10.0,0.0,10.0,54.24556,18.1099,2017.0
Jan-Jun 2017,Europe,Poland,Wielkopolskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,8.0,4.2,9.6,0.0,9.6,52.1458506,17.397672,2017.0
Jan-Jun 2017,Europe,Poland,Wielkopolskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Anatidae (unidentified),Animal,9.4,6.0,4.0,0.0,4.0,52.1458506,17.397672,2017.0
Jan-Jun 2017,Europe,Poland,Wielkopolskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mute Swan,Animal,9.4,4.8,15.0,0.0,15.0,52.1458506,17.397672,2017.0
Jan-Jun 2017,Europe,Poland,Zachodnio-Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Both animal categories,unknown,-,3.0,3.2,6.8,0.0,6.8,53.4658,15.1823,2017.0
Jan-Jun 2017,Europe,Poland,Zachodnio-Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mallard,Animal,8.0,3.4,1.0,0.0,1.0,53.4658,15.1823,2017.0
Jan-Jun 2017,Europe,Poland,Zachodnio-Pomorskie,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),unknown,Wild,Mute Swan,Animal,8.0,5.6,7.0,0.0,7.0,53.4658,15.1823,2017.0
Jul-Dec 2017,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Both animal categories,unknown,-,2.0,333.6,2.2,0.8,2.2,-32.2171831,26.6386401,2017.0
Jul-Dec 2017,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Domestic,Birds,Animal,2.2,15.0,6.0,0.0,6.0,-32.2171831,26.6386401,2017.0
Jul-Dec 2017,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Common Tern,Animal,2.2,33.6,1.0,1.0,0.0,-32.2171831,26.6386401,2017.0
Jul-Dec 2017,Africa,South Africa,Eastern Cape Province,Influenza A viruses of high pathogenicity (Inf. with) (non-poultry including wild birds) (2017-),H5N8,Wild,Swift tern,Animal,2.2,33.6,2.0,1.0,1.0,-32.2171831,26.6386401,2017.0
